Points_0,Points_1,Points_2,Points_Magnitude,U (Mach)_0,U (Mach)_1,U (Mach)_2,U (Mach)_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p,Block Number,Point ID
0.22,0.0179819,0.5,0.546556,0.280398,0.0013594,3.90297e-25,0.280401,95.3352,0.462194,1.32701e-22,95.3363,0.367931,0.00198217,119.686,0,2,0
0.22,0.0120686,0.5,0.546393,0.279882,0.00114951,-1.93748e-25,0.279884,95.1598,0.390833,-6.58744e-23,95.1606,0.150707,0.000776178,212.816,0,2,1
0.22,0.0238877,0.5,0.546782,0.278439,0.00152294,1.95526e-25,0.278443,94.6691,0.517799,6.6479e-23,94.6705,14.2836,0.00591663,1690.65,0,2,2
0.22,0.0297862,0.5,0.547072,0.25981,0.00243332,1.56e-24,0.259821,88.3352,0.827328,5.30399e-22,88.3391,97.9148,0.0158283,5027.24,0,2,3
0.22,0.0356801,0.5,0.547424,0.218955,0.00403551,-2.40649e-25,0.218992,74.4447,1.37207,-8.18206e-23,74.4573,256.124,0.0298074,7331.1,0,2,4
0.22,0.0415718,0.5,0.54784,0.193775,0.00483292,-4.37833e-24,0.193835,65.8834,1.64319,-1.48863e-21,65.9038,344.311,0.0367959,7763.86,0,2,5
0.22,0.0061516,0.5,0.546295,0.267428,0.000493984,-1.77221e-28,0.267429,90.9257,0.167955,-6.0255e-26,90.9258,13.2509,0.00081375,11824.3,0,2,6
0.22,0.00467945,0.5,0.54628,0.232349,-7.3471e-06,2.85871e-28,0.232349,78.9987,-0.00249801,9.71961e-26,78.9987,33.8252,0.000796629,31220.9,0,2,7
0.22,0.00910939,0.5,0.546336,0.280022,0.000911272,0,0.280023,95.2073,0.309833,0,95.2078,1.62394,0.00060923,2574.71,0,2,8
0.22,0.0033,0.5,0.54627,0.209523,-0.000177679,9.26183e-28,0.209523,71.2379,-0.0604109,3.14902e-25,71.2379,44.1565,0.000600576,43531.2,0,2,9
0.22,0.0179819,-0.5,0.546556,0.280398,0.0013594,3.90297e-25,0.280401,95.3352,0.462194,1.32701e-22,95.3363,0.367931,0.00198217,119.686,0,2,10
0.22,0.0120686,-0.5,0.546393,0.279882,0.00114951,-1.93748e-25,0.279884,95.1598,0.390833,-6.58744e-23,95.1606,0.150707,0.000776178,212.816,0,2,11
0.22,0.0238877,-0.5,0.546782,0.278439,0.00152294,1.95526e-25,0.278443,94.6691,0.517799,6.6479e-23,94.6705,14.2836,0.00591663,1690.65,0,2,12
0.22,0.0297862,-0.5,0.547072,0.25981,0.00243332,1.56e-24,0.259821,88.3352,0.827328,5.30399e-22,88.3391,97.9148,0.0158283,5027.24,0,2,13
0.22,0.0356801,-0.5,0.547424,0.218955,0.00403551,-2.40649e-25,0.218992,74.4447,1.37207,-8.18206e-23,74.4573,256.124,0.0298074,7331.1,0,2,14
0.22,0.0415718,-0.5,0.54784,0.193775,0.00483292,-4.37833e-24,0.193835,65.8834,1.64319,-1.48863e-21,65.9038,344.311,0.0367959,7763.86,0,2,15
