Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p,Block Number,Point ID
0.22,-0.141952,0.5,0.564403,32.7501,-43.3028,0,54.2927,100.199,0.0047006,14024.7,0,2,0
0.219998,-0.147999,0.5,0.565953,35.8792,-32.7188,0,48.5575,102.8,0.00298612,16331.4,0,2,1
0.22,-0.135924,0.5,0.562917,32.7439,-58.4702,-6.84294e-21,67.0144,82.9297,0.00636895,11257,0,2,2
0.22,-0.129906,0.5,0.561494,41.5778,-63.2959,-1.01393e-20,75.7303,65.5633,0.00577533,11410.6,0,2,3
0.22,-0.1239,0.5,0.560135,51.7634,-59.5391,6.18467e-21,78.8946,58.6961,0.00464462,12725.4,0,2,4
0.22,-0.117913,0.5,0.558841,55.704,-49.2111,8.95026e-21,74.3282,48.9132,0.00349858,13921.6,0,2,5
0.22,-0.111958,0.5,0.557615,51.2496,-33.3041,1.69714e-21,61.1202,36.3326,0.00249274,13831.4,0,2,6
0.22,-0.0829231,0.5,0.552518,-12.2537,2.51412,3.82532e-22,12.509,219.717,0.0677156,3275.76,0,2,7
0.22,-0.0888823,0.5,0.553444,-13.2741,2.74615,-8.02594e-23,13.5552,165.797,0.0426117,4073.28,0,2,8
0.22,-0.0769949,0.5,0.55166,-9.72908,2.15999,1.76781e-23,9.96597,283.983,0.0899804,3151.87,0,2,9
0.22,-0.0710811,0.5,0.550865,-5.86413,1.72224,-4.44356e-22,6.1118,352.904,0.104943,3354.24,0,2,10
0.22,-0.0651744,0.5,0.550134,-0.630394,1.26516,7.57917e-25,1.41352,426.315,0.111903,3805.99,0,2,11
0.22,-0.0592718,0.5,0.549466,6.2977,0.816063,0,6.35035,503.588,0.107413,4547.23,0,2,12
0.22,-0.0533732,0.5,0.548861,15.6255,0.408439,0,15.6308,581.412,0.0943066,5614.73,0,2,13
0.22,-0.0474795,0.5,0.54832,28.0789,0.112713,0,28.0791,650.029,0.0806156,6939.09,0,2,14
0.22,-0.0415857,0.5,0.547841,44.2444,0.128715,1.88702e-25,44.2446,681.379,0.0677681,8404.86,0,2,15
0.22,-0.0356908,0.5,0.547425,64.0109,0.518267,1.88702e-25,64.013,643.103,0.0555346,9661.49,0,2,16
0.22,-0.0297937,0.5,0.547072,85.8172,1.42941,0,85.8291,485.371,0.0431483,9805.99,0,2,17
0.22,-0.0238924,0.5,0.546782,104.4,2.09002,-7.4664e-26,104.421,235.018,0.0268181,7593.25,0,2,18
0.22,-0.0179844,0.5,0.546556,115.706,1.41603,2.36379e-23,115.715,54.4662,0.00922402,3830.49,0,2,19
0.22,-0.0120693,0.5,0.546393,121.971,-0.226003,-2.36555e-23,121.971,8.82853,0.00175033,3842.24,0,2,20
0.22,-0.109026,0.5,0.557034,48.433,-21.4014,1.60479e-22,52.9507,28.2185,0.00167437,17042.8,0,2,21
0.22,-0.106145,0.5,0.556477,34.2582,-12.7153,-2.97585e-21,36.5418,23.5898,0.000790377,24262.2,0,2,22
0.22,-0.104556,0.5,0.556176,18.9795,-6.35389,-1.8168e-21,20.0148,20.1081,0.000281757,27684,0,2,23
0.22,-0.0949205,0.5,0.554446,-11.263,2.40634,-1.31914e-22,11.5172,89.3595,0.0107519,10047.9,0,2,24
